Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-17 18:00:57,0.39426207542419434,10,0,-87.77999999999999,22.198854957707226,9,10,10,11,0,0,0,0,10,9,62,0,10,29,1,2,40,0,0,48,10,63,4,44,3,48,30
2024-09-17 18:00:57,0.9008040428161621,10,0,-92.82000000000008,24.436470434535295,6,12,12,9,0,0,0,4,10,8,93,0,10,33,3,10,60,0,0,49,12,90,38,45,11,49,27
2024-09-17 18:00:57,1.5074050426483154,10,2,13.360000000000142,27.797643239144236,3,12,12,59,0,0,0,3,10,4,78,0,10,30,17,78,89,0,0,6,12,93,103,35,59,6,14
2024-09-17 18:00:57,2.6468698978424072,10,22,166.3599999999979,59.4898677226156,0,12,12,130,0,0,0,3,10,1,39,0,10,113,124,167,132,0,0,12,12,143,181,119,127,12,17
2024-09-17 18:00:57,4.7958807945251465,10,49,538.8599999999914,87.12639158405364,0,9,9,286,0,0,0,4,7,0,27,0,7,198,179,213,208,0,3,21,9,215,219,206,185,21,9
2024-09-17 18:00:57,6.643744945526123,10,49,552.5199999999895,85.68107128702104,0,10,10,302,0,0,0,5,8,0,32,0,8,230,182,164,206,0,2,13,10,211,174,241,188,13,10
2024-09-17 18:00:57,8.26279592514038,10,1,526.7399999999913,89.65390384569764,2,10,10,281,0,0,0,6,7,2,39,0,7,214,179,162,199,0,3,16,10,204,168,231,189,16,11
2024-09-17 20:04:39,10.729156017303467,10,49,1125.799999999981,143.33739116089419,0,0,0,510,0,0,0,0,0,0,22,0,0,335,340,382,345,0,10,1,0,345,390,337,352,1,0
2024-09-17 20:04:39,20.47392964363098,10,49,1124.4199999999817,172.88978561386466,0,2,2,510,0,0,0,2,0,0,25,0,0,343,360,313,322,0,10,4,2,322,334,345,362,4,2
2024-09-17 20:04:39,31.11302399635315,10,49,985.3199999999833,146.04448394104838,1,2,2,460,0,0,0,0,2,1,6,0,2,311,300,235,277,0,8,4,2,277,239,313,300,4,2
2024-09-17 20:04:39,41.80622577667236,10,49,1069.639999999982,160.05557334423065,0,3,3,492,0,0,0,3,1,1,5,0,1,310,289,297,294,0,9,1,3,296,297,311,291,1,3
2024-09-17 20:04:39,52.14105844497681,10,18,983.5199999999837,149.2572026476264,0,2,2,459,0,0,0,1,2,0,4,0,2,308,262,262,266,0,8,4,2,267,262,308,265,4,2
2024-09-17 20:04:39,63.33076548576355,10,49,1104.1599999999812,173.0391749292612,0,3,3,509,0,0,0,2,1,0,5,0,1,328,306,287,310,0,9,6,3,312,287,329,308,6,3
2024-09-17 20:04:39,74.25978231430054,10,49,1093.199999999981,171.9019468575716,0,4,4,503,0,0,0,4,1,0,6,0,1,326,278,302,354,0,9,1,4,356,303,326,279,1,6
2024-09-17 20:04:39,86.14657711982727,10,49,1012.7199999999824,165.00467669963837,1,1,1,464,0,0,0,0,1,1,5,0,1,322,293,243,328,0,9,4,1,328,243,327,293,4,1
2024-09-17 20:04:39,98.38953685760498,10,49,1053.3399999999815,167.15883942693472,0,3,3,484,0,0,0,2,1,0,11,0,1,327,300,268,317,0,9,2,3,317,277,329,300,2,3
2024-09-17 20:04:39,110.24684572219849,10,49,1066.1799999999807,170.1452062278986,0,2,2,490,0,0,0,1,1,1,4,0,1,314,299,308,317,0,9,5,2,318,309,314,301,5,2
2024-09-17 20:04:39,121.4947350025177,10,49,1104.539999999981,166.9260304197669,0,1,1,509,0,0,0,1,1,0,1,0,1,332,307,302,289,0,9,3,1,289,303,332,307,3,1
2024-09-17 20:04:39,134.65648341178894,10,49,1124.719999999981,170.80973153561354,0,1,1,510,0,0,0,1,0,0,2,0,0,314,289,305,332,0,10,1,1,332,305,314,291,1,1
2024-09-17 20:04:39,147.1226511001587,10,49,1059.0399999999809,167.69393587112427,0,1,1,486,0,0,0,2,1,0,0,0,1,342,274,311,315,0,9,4,1,315,311,342,274,4,1
2024-09-17 20:04:39,158.28344225883484,10,49,1124.1199999999808,173.38025826960802,0,0,0,510,0,0,0,0,0,0,6,0,0,334,297,308,299,0,10,1,0,300,309,335,300,1,0
2024-09-17 20:04:39,166.89530324935913,10,49,846.2399999999864,130.40894462913275,0,3,3,401,0,0,0,3,3,0,7,0,3,242,233,197,255,0,7,2,3,260,197,242,235,2,3
2024-09-17 20:04:39,179.14786529541016,10,49,1084.139999999981,174.26539083570242,0,2,2,499,0,0,0,1,1,0,9,0,1,326,314,299,309,0,9,1,2,311,303,326,317,1,2
2024-09-17 20:04:39,191.40409302711487,10,49,1033.4199999999819,172.8705866485834,0,2,2,474,0,0,0,1,1,0,5,0,1,321,265,301,309,0,9,3,2,310,301,321,269,3,2
2024-09-17 20:04:39,201.90030193328857,10,32,972.9799999999835,160.3276011943817,0,4,4,463,0,0,0,1,3,0,9,0,3,300,242,304,258,0,7,6,4,258,305,306,243,6,5
2024-09-17 20:04:39,214.46723556518555,10,49,1083.2799999999813,171.1024672612548,0,1,1,499,0,0,0,0,1,0,5,0,1,302,291,289,315,0,9,3,1,316,289,303,293,3,2
2024-09-17 20:04:39,226.0984697341919,10,49,1123.7799999999802,185.71047412604094,0,2,2,509,0,0,0,2,0,0,3,0,0,344,302,310,338,0,10,3,2,338,310,347,302,3,2
